linetype	xmin	xmax	key	showSelected1	showSelected2	showSelected3	PANEL	group
0	43449.894	43451.105	43449894 43451105	-4.4	1.41885391825865	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	1.41885391825865	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	1.76523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	1.76523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	1.76523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	2.32562278092917	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	2.32562278092917	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	2.32562278092917	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	3.35283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	3.35283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	3.35283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	4.85202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	4.85202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	4.85202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.4	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.4	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.4	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.2	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-4.2	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-4.2	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-4.2	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.2	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.2	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.2	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.2	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.2	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4.2	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4.2	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	-0.412657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	-0.412657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	-0.412657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	0.612958946320131	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	0.612958946320131	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	0.612958946320131	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	1.31885391825865	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	1.31885391825865	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	1.31885391825865	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	1.66523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	1.66523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	1.66523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	2.12562278092917	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	2.12562278092917	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	2.12562278092917	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	3.15283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	3.15283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	3.15283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	4.65202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	4.65202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	4.65202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4.2	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4.2	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4.2	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-4	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-4	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-4	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-4	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-4	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	-0.512657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	-0.512657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	-0.512657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	0.412958946320131	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	0.412958946320131	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	0.412958946320131	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	1.20830916989523	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	1.20830916989523	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	1.20830916989523	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	1.56523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	1.56523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	1.56523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	1.9361675292926	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	1.9361675292926	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	1.9361675292926	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	2.95283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	2.95283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	2.95283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	4.45202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	4.45202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	4.45202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-4	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-4	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-4	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.8	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-3.8	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-3.8	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-3.8	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.8	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.8	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.8	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.8	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.8	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.8	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.8	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	-0.612657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	-0.612657524285237	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	-0.612657524285237	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	0.212958946320131	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	0.212958946320131	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	0.212958946320131	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	1.00830916989523	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	1.00830916989523	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	1.00830916989523	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	1.46523715330971	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	1.46523715330971	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	1.46523715330971	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	1.8361675292926	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	1.8361675292926	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	1.8361675292926	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	2.75283511716953	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	2.75283511716953	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	2.75283511716953	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	4.25202555736225	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	4.25202555736225	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	4.25202555736225	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.8	Inf	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.8	Inf	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.8	Inf	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.6	-Inf	false positive	1	2
1	43449.894	43451.105	43449894 43451105	-3.6	-Inf	false positive	1	4
1	43451.457	43455.122	43451457 43455122	-3.6	-Inf	false positive	1	6
1	43448.817	43449.759	43448817 43449759	-3.6	-3.5987564321254	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.6	-3.5987564321254	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.6	-3.5987564321254	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.6	-2.87110214393305	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.6	-2.87110214393305	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.6	-2.87110214393305	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.6	-2.524465240576	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.6	-2.524465240576	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.6	-2.524465240576	correct	1	5
1	43448.817	43449.759	43448817 43449759	-3.6	-1.7250450381836	false positive	1	2
0	43449.894	43451.105	43449894 43451105	-3.6	-1.7250450381836	correct	1	3
0	43451.457	43455.122	43451457 43455122	-3.6	-1.7250450381836	correct	1	5
0	43448.817	43449.759	43448817 43449759	-3.6	-0.712657524285237	correct	1	1
0	43449.894	43451.105	43449894 43451105	-3.6	-0.712657524285237	correct	1	3
