colour	size	y	yend	x	xend	key	showSelected1	showSelected2	PANEL
#FF0000	5	1	1	-2.58675174735288	-2.57149816677717	11 fp	-4.8	fp	1
#FF0000	5	1	1	-2.57149816677717	-2.55110196946485	12 fp	-4.8	fp	1
#FF0000	5	1	1	-2.55110196946485	-2.53938963344197	13 fp	-4.8	fp	1
#FF0000	5	1	1	-2.53938963344197	-2.52662158535874	14 fp	-4.8	fp	1
#FF0000	5	1	1	-2.52662158535874	-2.50930827993967	15 fp	-4.8	fp	1
#FF0000	5	1	1	-2.50930827993967	-2.49540807078698	16 fp	-4.8	fp	1
#FF0000	5	1	1	-2.49540807078698	-2.48261262953773	17 fp	-4.8	fp	1
#FF0000	5	1	1	-2.48261262953773	-2.47040257640679	18 fp	-4.8	fp	1
#FF0000	5	1	1	-2.47040257640679	-2.46326103820639	19 fp	-4.8	fp	1
#FF0000	5	1	1	-2.46326103820639	-2.46078307000063	20 fp	-4.8	fp	1
#FF0000	5	1	1	-2.46078307000063	-2.45871709842386	21 fp	-4.8	fp	1
#FF0000	5	1	1	-2.45871709842386	-2.45340475926054	22 fp	-4.8	fp	1
#FF0000	5	1	1	-2.45340475926054	-2.4403220724321	23 fp	-4.8	fp	1
#FF0000	5	1	1	-2.4403220724321	-2.19093202336509	24 fp	-4.8	fp	1
#FF0000	5	1	1	-2.19093202336509	-1.70975562988886	25 fp	-4.8	fp	1
#FF0000	5	1	1	-1.70975562988886	-1.30556678281946	26 fp	-4.8	fp	1
#FF0000	5	1	1	-1.30556678281946	-1.09932481093212	27 fp	-4.8	fp	1
#FF0000	5	1	1	-1.09932481093212	-1.0154227566525	28 fp	-4.8	fp	1
#FF0000	5	1	1	-1.0154227566525	-1.00135576037675	29 fp	-4.8	fp	1
#FF0000	5	1	1	-1.00135576037675	-0.989307006366561	30 fp	-4.8	fp	1
#FF0000	5	0	0	-0.989307006366561	-0.989134036202589	31 fp	-4.8	fp	1
#FF0000	5	0	0	-0.989134036202589	-0.988893231938196	32 fp	-4.8	fp	1
#FF0000	5	0	0	-0.988893231938196	-0.968263504582715	33 fp	-4.8	fp	1
#FF0000	5	0	0	-0.968263504582715	-0.899385467897039	34 fp	-4.8	fp	1
#FF0000	5	0	0	-0.899385467897039	-0.678987521191631	35 fp	-4.8	fp	1
#FF0000	5	0	0	-0.678987521191631	-0.408139872451828	36 fp	-4.8	fp	1
#FF0000	5	0	0	-0.408139872451828	-0.249624174041498	37 fp	-4.8	fp	1
#FF0000	5	0	0	-0.249624174041498	-0.0801910112768258	38 fp	-4.8	fp	1
