xmin	xmax	key	showSelected1	showSelected2	PANEL	group
-2.58814741115137	-2.46078307000063	-2.58814741115137	-5	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-5	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-4.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-4.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-4.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-4.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-4.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-4.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-4.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-4.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-3.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-3.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-3.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-3.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-3.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-3.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-3.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-3.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-3	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-3	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-2.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-2.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-2.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-2.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-2.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-2.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-2.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-2.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-1.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-1.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-1.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-1.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-1.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-1.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-1.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-1.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-1	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-1	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-0.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-0.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-0.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-0.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-0.399999999999999	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-0.399999999999999	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	-0.199999999999999	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	-0.199999999999999	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	0	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	0	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	0.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	0.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	0.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	0.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	0.600000000000001	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	0.600000000000001	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	0.800000000000001	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	0.800000000000001	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	1	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	1	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	1.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	1.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	1.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	1.4	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	1.6	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	1.6	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	1.8	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	1.8	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	2.2	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	2.2	Min	1	1
-2.58814741115137	-2.46078307000063	-2.58814741115137	2.4	Min	1	1
-0.989307006366561	1.57578190167313	-0.989307006366561	2.4	Min	1	1
