y	x	key	label	showSelected1	PANEL	group
0.5	-2.46078307000063	1	AUM=8.0	-5	3	-1
0.5	-2.46078307000063	1	AUM=7.6	-4.8	3	-1
0.5	-2.46078307000063	1	AUM=7.2	-4.6	3	-1
0.5	-2.46078307000063	1	AUM=6.8	-4.4	3	-1
0.5	-2.46078307000063	1	AUM=6.4	-4.2	3	-1
0.5	-2.46078307000063	1	AUM=6.1	-4	3	-1
0.5	-2.46078307000063	1	AUM=5.9	-3.8	3	-1
0.5	-2.46078307000063	1	AUM=5.7	-3.6	3	-1
0.5	-2.46078307000063	1	AUM=5.5	-3.4	3	-1
0.5	-2.46078307000063	1	AUM=5.3	-3.2	3	-1
0.5	-2.46078307000063	1	AUM=5.1	-3	3	-1
0.5	-2.46078307000063	1	AUM=4.9	-2.8	3	-1
0.5	-2.46078307000063	1	AUM=4.7	-2.6	3	-1
0.5	-2.46078307000063	1	AUM=4.5	-2.4	3	-1
0.5	-2.46078307000063	1	AUM=4.3	-2.2	3	-1
0.5	-2.46078307000063	1	AUM=4.1	-2	3	-1
0.5	-2.46078307000063	1	AUM=3.9	-1.8	3	-1
0.5	-2.46078307000063	1	AUM=3.7	-1.6	3	-1
0.5	-2.46078307000063	1	AUM=3.5	-1.4	3	-1
0.5	-2.46078307000063	1	AUM=3.3	-1.2	3	-1
0.5	-2.46078307000063	1	AUM=3.1	-1	3	-1
0.5	-2.46078307000063	1	AUM=2.9	-0.8	3	-1
0.5	-2.46078307000063	1	AUM=2.8	-0.6	3	-1
0.5	-2.46078307000063	1	AUM=2.8	-0.399999999999999	3	-1
0.5	-2.46078307000063	1	AUM=2.8	-0.199999999999999	3	-1
0.5	-2.46078307000063	1	AUM=2.8	0	3	-1
0.5	-2.46078307000063	1	AUM=2.8	0.2	3	-1
0.5	-2.46078307000063	1	AUM=2.8	0.4	3	-1
0.5	-2.46078307000063	1	AUM=2.8	0.600000000000001	3	-1
0.5	-2.50344684308794	1	AUM=2.8	0.800000000000001	3	-1
0.5	-2.70344684308794	1	AUM=2.8	1	3	-1
0.5	-2.90344684308794	1	AUM=2.8	1.2	3	-1
0.5	-3.10344684308794	1	AUM=2.8	1.4	3	-1
0.5	-3.30344684308794	1	AUM=2.8	1.6	3	-1
0.5	-3.50344684308794	1	AUM=2.8	1.8	3	-1
0.5	-3.70344684308794	1	AUM=2.8	2	3	-1
0.5	-3.90344684308794	1	AUM=2.9	2.2	3	-1
0.5	-4.10344684308794	1	AUM=3.1	2.4	3	-1
0.5	-4.30344684308794	1	AUM=3.3	2.6	3	-1
0.5	-4.50344684308794	1	AUM=3.5	2.8	3	-1
0.5	-4.70344684308794	1	AUM=3.7	3	3	-1
0.5	-4.90344684308794	1	AUM=3.9	3.2	3	-1
0.5	-5.10344684308794	1	AUM=4.1	3.4	3	-1
0.5	-5.30344684308794	1	AUM=4.3	3.6	3	-1
0.5	-5.50344684308794	1	AUM=4.5	3.8	3	-1
0.5	-5.70344684308794	1	AUM=4.8	4	3	-1
0.5	-5.90344684308794	1	AUM=5.2	4.2	3	-1
0.5	-6.10344684308794	1	AUM=5.6	4.4	3	-1
0.5	-6.30344684308794	1	AUM=6.0	4.6	3	-1
0.5	-6.50344684308794	1	AUM=6.4	4.8	3	-1
0.5	-6.70344684308794	1	AUM=6.8	5	3	-1
